,title,abstract,decision,zero_shot
100,Genetically determined intelligence and coronary artery disease risk,"BACKGROUND: Epidemiological studies have shown inverse association between intelligence and coronary artery disease (CAD) risk, but the underlying mechanisms remain unclear., METHODS: Based on 242 SNPs independently associated with intelligence, we calculated the genetic intelligence score (gIQ) for participants from 10 CAD case-control studies (n = 34,083) and UK Biobank (n = 427,306). From UK Biobank, we extracted phenotypes including body mass index (BMI), type 2 diabetes (T2D), smoking, hypertension, HDL cholesterol, LDL cholesterol, measured intelligence score, and education attainment. To estimate the effects of gIQ on CAD and its related risk factors, regression analyses was applied. Next, we studied the mediatory roles of measured intelligence and educational attainment. Lastly, Mendelian randomization was performed to validate the findings., RESULTS: In CAD case-control studies, one standard deviation (SD) increase of gIQ was related to a 5% decrease of CAD risk (odds ratio [OR] of 0.95; 95% confidence interval [CI] 0.93 to 0.98; P = 4.93e-5), which was validated in UK Biobank (OR = 0.97; 95% CI 0.96 to 0.99; P = 6.4e-4). In UK Biobank, we also found significant inverse correlations between gIQ and risk factors of CAD including smoking, BMI, T2D, hypertension, and a positive correlation with HDL cholesterol. The association signals between gIQ and CAD as well as its risk factors got largely attenuated after the adjustment of measured intelligence and educational attainment. The causal role of intelligence in mediating CAD risk was confirmed by Mendelian randomization analyses., CONCLUSION: Genetic components of intelligence affect measured intelligence and educational attainment, which subsequently affect the prevalence of CAD via a series of unfavorable risk factor profiles.",Included,Included
108,"Genetically driven adiposity traits increase the risk of coronary artery disease independent of blood pressure, dyslipidaemia, glycaemic traits","Adiposity has been associated with the risk of coronary artery disease (CAD) in observational studies, but their association may differ according to specific characteristics of studies. In Mendelian randomization (MR) analyses, genetic variants are used as instrumental variables (IVs) of exposures to examine causal effects to overcome confounding factors and reverse causation. We performed MR analyses for adiposity (n = 322,154) on risk of CAD (60,801 cases and 123,504 controls) based on the currently largest genome-wide association studies. The estimated associations between adiposity traits and CAD were calculated by an inverse-variance weighted method with and without excluding the IVs, which are associated with the well-known risk factors of CAD. Genetic variants are identified to be associated with the well-known risk factors of CAD by a cross-phenotype meta-analysis method. Our results furnished strong evidence for a causal role of adiposity in risk of CAD, with the odds ratios (ORs) for CAD being 1.53 (95% CI 1.36-1.72) for body mass index (BMI), 1.48 (1.20-1.96) for waist-hip ratio (WHR), and 1.34 (1.07-1.59) for WHR adjusted for BMI (WHRadjBMI), respectively. After excluding mediators-associated IVs from the MR analyses, the corresponding ORs were 1.46 (1.28-1.67) for BMI, 1.39 (1.01-1.93) for WHR, and 1.38 (1.04-1.84) for WHRadjBMI, respectively. Furthermore, our results suggested that central adiposity and general adiposity might pose a similar risk for CAD. In summary, our data supported that genetically driven adiposity traits imposed the risk of CAD independent of blood pressure, dyslipidaemia, glycaemic traits, and type 2 diabetes.",Included,Included
181,Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,"Elevated levels of circulating triglycerides and increased arterial stiffness are associated with cardiovascular disease. Numerous studies have reported an association between levels of circulating triglycerides and arterial stiffness. We used Mendelian randomization to test whether this association is causal. We investigated the association between circulating triglyceride levels, the apolipoprotein A-V (ApoA5) -1131T>C single nucleotide polymorphism and brachial-ankle pulse wave velocity (baPWV) by examining data from 4421 subjects aged 18-74 years who were recruited from the Chinese population. baPWV was significantly associated with the levels of circulating triglycerides after adjusting for age, sex, body mass index (BMI), systolic blood pressure, heart rate, waist-to-hip ratio, antihypertensive treatment and diabetes mellitus status. The -1131C allele was associated with a 5% (95% confidence interval 3-8%) increase in circulating triglycerides (adjusted for age, sex, BMI, waist-to-hip ratio, diabetes mellitus and antihypertensive treatment). Instrumental variable analysis showed that genetically elevated levels of circulating triglycerides were not associated with increased baPWV. These results do not support the hypothesis that levels of circulating triglycerides have a causal role in the development of arterial stiffness.",Included,Included
192,Genetically modulated educational attainment and coronary disease risk,"AIMS: Genetic disposition and lifestyle factors are understood as independent components underlying the risk of multiple diseases. In this study, we aim to investigate the interplay between genetics, educational attainment-an important denominator of lifestyle-and coronary artery disease (CAD) risk., METHODS AND RESULTS: Based on the effect sizes of 74 genetic variants associated with educational attainment, we calculated a 'genetic education score' in 13 080 cases and 14 471 controls and observed an inverse correlation between the score and risk of CAD [P = 1.52 x 10-8; odds ratio (OR) 0.79, 95% confidence interval (CI) 0.73-0.85 for the higher compared with the lowest score quintile]. We replicated in 146 514 individuals from UK Biobank (P = 1.85 x 10-6) and also found strong associations between the 'genetic education score' with 'modifiable' risk factors including smoking (P = 5.36 x 10-23), body mass index (BMI) (P = 1.66 x 10-30), and hypertension (P = 3.86 x 10-8). Interestingly, these associations were only modestly attenuated by adjustment for years spent in school. In contrast, a model adjusting for BMI and smoking abolished the association signal between the 'genetic education score' and CAD risk suggesting an intermediary role of these two risk factors. Mendelian randomization analyses performed with summary statistics from large genome-wide meta-analyses and sensitivity analysis using 1271 variants affecting educational attainment (OR 0.68 for the higher compared with the lowest score quintile; 95% CI 0.63-0.74; P = 3.99 x 10-21) further strengthened these findings., CONCLUSION: Genetic variants known to affect educational attainment may have implications for a health-conscious lifestyle later in life and subsequently affect the risk of CAD. Copyright Published on behalf of the European Society of Cardiology. All rights reserved. © The Author(s) 2019. For permissions, please email: journals.permissions@oup.com.",Included,Included
11,Genetically predicted 17beta-estradiol and cardiovascular risk factors in women: a Mendelian randomization analysis using young women in Hong Kong and older women in the Guangzhou Biobank Cohort Study,"PURPOSE: The role of estrogen in cardiovascular health remains contested with discrepancies between findings from randomized controlled trials and observational studies. Mendelian randomization, which assesses the effect of lifelong endogenous exposure, may help elucidate these discrepancies., METHODS: We used separate sample instrumental variable analysis to estimate the association of log 17beta-estradiol with factors related to cardiovascular disease risk (systolic and diastolic blood pressure, lipids, fasting glucose, body mass index, waist hip ratio, and waist circumference) and Framingham score, a predictor of 10-year risk of ischemic heart disease events, in older Chinese women from the Guangzhou Biobank Cohort Study (GBCS, n = 3092). The estimate was derived using the Wald estimator, that is, the ratio of the association of genetic determinants (rs1008805 and rs2175898) of log 17beta-estradiol with cardiovascular disease risk factors and Framingham score in GBCS and the association of these genetic determinants with log 17beta-estradiol in a sample of young women from Hong Kong (n = 236)., RESULTS: Genetically, higher 17beta-estradiol was not associated with any cardiovascular disease-related risk factor or with Framingham score (-0.01, 95% confidence interval = -1.34 to 1.31)., CONCLUSIONS: Lifetime exposure to estrogen does not appear to be cardioprotective via the cardiovascular disease-related risk factors examined. Copyright © 2016 Elsevier Inc. All rights reserved.",Included,Included
194,Genetically predicted higher educational attainment decreases the risk of stroke: a multivariable Mendelian randomization study,"BACKGROUND: The causal association between educational attainment (EA) and stroke remains unclear. Hence, a novel multivariable Mendelian randomization (MVMR) approach was applied to solve this issue., METHODS: The single nucleotide polymorphisms (SNPs) from a recent genome-wide association study (GWAS) on years of schooling served as instruments. Univariable mendelian randomization (MR) and MVMR analyses were performed to detect the relationship between genetically predicted EA and the stroke risk. In the MVMR, cigarette consumption, alcohol consumption, body mass index (BMI), intelligence, and hypertension were adjusted. The summary statistics for stroke from the MEGASTROKE consortium included 446,696 participants (40,585 cases of stroke and 34,217 cases of ischemic stroke), most of whom were of European descent., RESULTS: In the univariable MR, genetically predicated EA could decrease the risks of total stroke (OR = 0.66, 95% CI 0.61-0.72, P = 2.70 x 10-23), ischemic stroke (OR = 0.67, 95% CI 0.61-0.73, P = 2.58 x 10-18), large artery atherosclerosis (OR = 0.51, 95% CI 0.40-0.64, P = 1.80 x 10-8), small vessel stroke (OR = 0.60, 95% CI 0.49-0.73, P = 5.59 x 10-7), and cardioembolic stroke (OR = 0.81, 95% CI 0.68-0.96, P = 1.46 x 10-2) using the inverse-variance weighted (IVW) estimator. Higher EA might be negatively correlated with the odds of total stroke (OR = 0.62, 95% CI 0.50-0.77, P = 1.44 x 10-5), ischemic stroke (OR = 0.63, 95% CI 0.50-0.80, P = 1.41 x 10-4), and cardioembolic stroke (OR = 0.59, 95% CI 0.39-0.90, P = 0.01), but was not significant in large artery atherosclerosis (OR = 0.65, 95% CI 0.37-1.15, P = 0.14) and small vessel stroke (OR = 0.68, 95% CI 0.41-1.13, P = 0.14) after controlling other exposures., CONCLUSIONS: We found that genetically predicated higher EA decreased the risks of total stroke, ischemic stroke, and cardioembolic stroke, independent of smoking, alcohol consumption, BMI, intelligence, and hypertension. Copyright © 2022. The Author(s).",Included,Included
196,Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,"BACKGROUND: Observationally lower testosterone is associated with an unhealthier cardiovascular (CVD) risk profile, but this association is open to confounding and reverse causality. The authors examined the association of testosterone with well-established cardiovascular disease (CVD) risk factors (blood pressure, low-density lipoprotein (LDL) cholesterol, high-density lipoprotein (HDL)cholesterol and fasting glucose) and the Framingham score using a Mendelian randomization analysis with a separate-sample instrumental variable estimator., METHODS: To minimize reverse causality, a genetic score predicting testosterone was developed in 289 young Chinese men from Hong Kong, based on three selected testosterone-related single nucleotide polymorphisms (rs10046, rs1008805 and rs1256031). Multivariable censored and linear regressions were used to examine the association of genetically predicted testosterone levels with CVD risk factors and Framingham score among 4212 older Chinese men from the Guangzhou Biobank Cohort Study., RESULTS: Predicted testosterone was unrelated to systolic blood pressure [-0.11 mmHg, 95% confidence interval (CI) -0.70 to 0.48], diastolic blood pressure (0.04 mmHg, 95% CI -0.27 to 0.36), fasting glucose (0.02 mmol/l, 95% CI -0.02 to 0.06) or Framingham score (0.02, 95% CI -0.0001 to 0.03) but associated with higher LDL-cholesterol (0.02 mmol/l, 95% CI 0.01 to 0.04) and lower HDL-cholesterol (-0.01 mmol/l, 95% CI -0.02 to -0.001), after adjustment for potential confounders (age, education, smoking status, use of alcohol and body mass index)., CONCLUSIONS: Our findings did not corroborate observed protective effects of testosterone on cardiovascular risk factors or risk of ischaemic heart disease among men, but raises the possibility that higher testosterone may be associated with an unhealthier lipid profile.",Included,Included
78,"Genetically, Dietary Sodium Intake Is Causally Associated with Salt-Sensitive Hypertension Risk in a Community-Based Cohort Study: a Mendelian Randomization Approach","PURPOSE OF REVIEW: Excessive dietary salt intake is associated with an increased risk of hypertension. Salt sensitivity, i.e., an elevation in blood pressure in response to high dietary salt intake, has been associated with a high risk of cardiovascular disease and mortality. We investigated whether a causal association exists between dietary sodium intake and hypertension risk using Mendelian randomization (MR)., RECENT FINDINGS: We performed an MR study using data from a large genome-wide association study comprising 15,034 Korean adults in a community-based cohort study. A total of 1282 candidate single nucleotide polymorphisms associated with dietary sodium intake, such as rs2960306, rs4343, and rs1937671, were selected as instrumental variables. The inverse variance weighted method was used to assess the evidence for causality. Higher dietary sodium intake was associated with salt-sensitive hypertension risk. The variants of SLC8E1 rs2241543 and ADD1 rs16843589 were strongly associated with increased blood pressure. In the logistic regression model, after adjusting for age, gender, smoking, drinking, exercise, and body mass index, the GRK4 rs2960306TT genotype was inversely associated with hypertension risk (OR, 0.356; 95% CI, 0.236-0.476). However, the 2350GG genotype (ACE rs4343) exhibited a 2.11-fold increased hypertension risk (OR, 2.114; 95% CI, 2.004-2.224) relative to carriers of the 2350AA genotype, after adjusting for confounders. MR analysis revealed that the odds ratio for hypertension per 1 mg/day increment of dietary sodium intake was 2.24 in participants with the PRKG1 rs12414562 AA genotype. Our findings suggest that dietary sodium intake may be causally associated with hypertension risk.",Included,Included
121,"Genome-Wide Association Analysis of Over 170,000 Individuals from the UK Biobank Identifies Seven Loci Associated with Dietary Approaches to Stop Hypertension (DASH) Diet","Diet is a modifiable risk factor for common chronic diseases and mental health disorders, and its effects are under partial genetic control. To estimate the impact of diet on individual health, most epidemiological and genetic studies have focused on individual aspects of dietary intake. However, analysing individual food groups in isolation does not capture the complexity of the whole diet pattern. Dietary indices enable a holistic estimation of diet and account for the intercorrelations between food and nutrients. In this study we performed the first ever genome-wide association study (GWA) including 173,701 individuals from the UK Biobank to identify genetic variants associated with the Dietary Approaches to Stop Hypertension (DASH) diet. DASH was calculated using the 24 h-recall questionnaire collected by UK Biobank. The GWA was performed using a linear mixed model implemented in BOLT-LMM. We identified seven independent single-nucleotide polymorphisms (SNPs) associated with DASH. Significant genetic correlations were observed between DASH and several educational traits with a significant enrichment for genes involved in the AMP-dependent protein kinase (AMPK) activation that controls the appetite by regulating the signalling in the hypothalamus. The colocalization analysis implicates genes involved in body mass index (BMI)/obesity and neuroticism (ARPP21, RP11-62H7.2, MFHAS1, RHEBL1). The Mendelian randomisation analysis suggested that increased DASH score, which reflect a healthy diet style, is causal of lower glucose, and insulin levels. These findings further our knowledge of the pathways underlying the relationship between diet and health outcomes. They may have significant implications for global public health and provide future dietary recommendations for the prevention of common chronic diseases.",Included,Included
141,Genome-wide association and Mendelian randomisation analysis provide insights into the pathogenesis of heart failure,"Heart failure (HF) is a leading cause of morbidity and mortality worldwide. A small proportion of HF cases are attributable to monogenic cardiomyopathies and existing genome-wide association studies (GWAS) have yielded only limited insights, leaving the observed heritability of HF largely unexplained. We report results from a GWAS meta-analysis of HF comprising 47,309 cases and 930,014 controls. Twelve independent variants at 11 genomic loci are associated with HF, all of which demonstrate one or more associations with coronary artery disease (CAD), atrial fibrillation, or reduced left ventricular function, suggesting shared genetic aetiology. Functional analysis of non-CAD-associated loci implicate genes involved in cardiac development (MYOZ1, SYNPO2L), protein homoeostasis (BAG3), and cellular senescence (CDKN1A). Mendelian randomisation analysis supports causal roles for several HF risk factors, and demonstrates CAD-independent effects for atrial fibrillation, body mass index, and hypertension. These findings extend our knowledge of the pathways underlying HF and may inform new therapeutic strategies.",Excluded,Excluded
128,High-Density Lipoprotein 3 Cholesterol and Primary Open-Angle Glaucoma: Metabolomics and Mendelian Randomization Analyses,"PURPOSE: We hypothesized that the effect of blood lipid-related metabolites on primary open-angle glaucoma (POAG) would differ according to specific lipoprotein particles and lipid sub-fractions. We investigated the associations of blood levels of lipoprotein particles and lipid sub-fractions with POAG., DESIGN: Cross-sectional study., PARTICIPANTS: Individuals recruited for the baseline visit of the population-based Singapore Epidemiology of Eye Disease study (n = 8503)., METHODS: All participants underwent detailed standardized ocular and systemic examinations. A total of 130 blood lipid-related metabolites were quantified using a nuclear magnetic resonance metabolomics platform. The analyses were conducted in 2 stages. First, we investigated whether and which lipid-related metabolites were directly associated with POAG using regression analyses followed by Bayesian network modeling. Second, we investigated if any causal relationship exists between the identified lipid-related metabolites, if any, and POAG using 2-sample Mendelian randomization (MR) analysis. We performed genome-wide association studies (GWAS) on high-density lipoprotein (HDL) 3 cholesterol (after inverse normal transformation) and used the top variants associated with HLD3 cholesterol as instrumental variables (IVs) in the MR analysis., MAIN OUTCOME MEASURE: Primary open-angle glaucoma., RESULTS: Of the participants, 175 (2.1%) had POAG. First, a logistic regression model showed that total HDL3 cholesterol (negatively) and phospholipids in very large HDL (positively) were associated with POAG. Further analyses using a Bayesian network analysis showed that only total HDL3 cholesterol was directly associated with POAG (odds ratio [OR], 0.72 per 1 standard deviation increase in HDL3 cholesterol; 95% confidence interval [CI], 0.61-0.84), independently of age, gender, intraocular pressure (IOP), body mass index (BMI), education level, systolic blood pressure, axial length, and statin medication. Using 5 IVs identified from the GWAS and with the inverse variance weighted MR method, we found that higher levels of HDL3 cholesterol were associated with a decreased odds of POAG (OR, 0.91; 95% CI, 0.84-0.99, P = 0.021). Other MR methods, including weighted median, mode-based estimator, and contamination mixture methods, derived consistent OR estimates. None of the routine lipids (blood total, HDL, or low-density lipoprotein [LDL] cholesterol) were associated with POAG., CONCLUSIONS: Overall, these results suggest that the relationship between HDL3 cholesterol and POAG might be causal and specific, and that dysregulation of cholesterol transport may play a role in the pathogenesis of POAG. Copyright © 2021 American Academy of Ophthalmology. Published by Elsevier Inc. All rights reserved.",Included,Included
58,Human genetic determinants of the gut microbiome and their associations with health and disease: a phenome-wide association study,"Small-scale studies have suggested a link between the human gut microbiome and highly prevalent diseases. However, the extent to which the human gut microbiome can be considered a determinant of disease and healthy aging remains unknown. We aimed to determine the spectrum of diseases that are linked to the human gut microbiome through the utilization of its genetic determinants as a proxy for its composition. 180 single nucleotide polymorphisms (SNPs) known to influence the human gut microbiome were used to assess the association with health and disease outcomes in 422,417 UK Biobank participants. Potential causal estimates were obtained using a Mendelian randomization (MR) approach. From the total sample analysed (mean age was 57 +/- 8 years), 194,567 (46%) subjects were male. Median exposure was 66-person years (interquartile range 59-72). Eleven SNPs were significantly associated with 28 outcomes (Bonferroni corrected P value < 4.63.10-6) including food intake, hypertension, atopy, COPD, BMI, and lipids. Multiple SNP MR pointed to a possible causal link between Ruminococcus flavefaciens and hypertension, and Clostridium and platelet count. Microbiota and their metabolites might be of importance in the interplay between overlapping pathophysiological processes, although challenges remain in establishing causal relationships.",Excluded,Excluded
154,Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,"BACKGROUND: Hypertension is a common modifiable risk factor for cardiovascular disease and mortality. Pathophysiological mechanisms leading to hypertension remain incompletely understood. Mendelian randomization (MR) allows the evaluation of the causal role of markers by minimizing the risk of biases such as reverse causation and confounding. We aimed to identify novel circulating proteins associated with blood pressure through a comprehensive screen of 227 blood biomarkers using MR., METHODS: Genetic determinants of 227 biomarkers were identified in ORIGIN (Outcome Reduction With Initial Glargine Intervention; URL: http://www.clinicaltrials.gov. Unique identifier: NCT00069784) participants (N=4147) and combined with genetic effects on systolic blood pressure, diastolic blood pressure, mean arterial pressure, and pulse pressure from the International Consortium for Blood Pressure (74 064 individuals) using MR. Results were replicated in the UK Biobank (up to 319 103 individuals) and using another biomarker dataset (N=3301). MR analyses with cardiovascular risk factors and outcomes as well as other biomarkers were performed to further evaluate the mechanisms involved., RESULTS: Six biomarkers were associated with blood pressure using MR after adjustment for multiple hypothesis testing. Relationships between NT-proBNP (N-terminal Pro-B-type natriuretic peptide), systolic blood pressure, and diastolic blood pressure confirmed previous reports. Novel circulating proteins associated with blood pressure were also identified. uPA (urokinase-type plasminogen activator) was related to systolic blood pressure; ADM (adrenomedullin) was related to systolic blood pressure and pulse pressure; IL (interleukin) 16 was related to diastolic blood pressure; cFn (cellular fibronectin) and IGFBP3 (insulin-like growth factor-binding protein 3) were related to pulse pressure. With the exception of IL16 and diastolic blood pressure (P=0.58), these relationships were validated in the UK Biobank (P<0.0001). Further MR analyses with cardiovascular risk factors and outcomes showed relationships between NT-proBNP and large-artery atherosclerotic stroke, IGFBP3 and diabetes mellitus as well as cFn and body mass index., CONCLUSIONS: We identified novel biomarkers associated with blood pressure using MR. These markers could prove useful for risk assessment and as potential therapeutic targets.",Included,Included
59,Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,"People with coronavirus disease 2019 (COVID-19) have different mortality or severity, and this clinical outcome is thought to be mainly attributed to comorbid cardiovascular diseases. However, genetic loci jointly influencing COVID-19 and cardiovascular disorders remain largely unknown. To identify shared genetic loci between COVID-19 and cardiac traits, we conducted a genome-wide cross-trait meta-analysis. Firstly, from eight cardiovascular disorders, we found positive genetic correlations between COVID-19 and coronary artery disease (CAD, R g = 0.4075, P = 0.0031), type 2 diabetes (T2D, R g = 0.2320, P = 0.0043), obesity (OBE, R g = 0.3451, P = 0.0061), as well as hypertension (HTN, R g = 0.233, P = 0.0026). Secondly, we detected 10 shared genetic loci between COVID-19 and CAD, 3 loci between COVID-19 and T2D, 5 loci between COVID-19 and OBE, and 21 loci between COVID-19 and HTN, respectively. These shared genetic loci were enriched in signaling pathways and secretion pathways. In addition, Mendelian randomization analysis revealed significant causal effect of COVID-19 on CAD, OBE and HTN. Our results have revealed the genetic architecture shared by COVID-19 and CVD, and will help to shed light on the molecular mechanisms underlying the associations between COVID-19 and cardiac traits. Copyright © 2022 Guo, Li and Wen.",Excluded,Excluded
15,Impact of comorbidities on gout and hyperuricaemia: an update on prevalence and treatment options,"Gout, the most prevalent inflammatory arthritis worldwide, is associated with cardiovascular and renal diseases, and is an independent predictor of premature death. The frequencies of obesity, chronic kidney disease (CKD), hypertension, type 2 diabetes, dyslipidaemias, cardiac diseases (including coronary heart disease, heart failure and atrial fibrillation), stroke and peripheral arterial disease have been repeatedly shown to be increased in gout. Therefore, the screening and care of these comorbidities as well as of cardiovascular risk factors are of outmost importance in patients with gout. Comorbidities, especially CKD, and drugs prescribed for their treatment, also impact gout management. Numerous epidemiological studies have shown the association of asymptomatic hyperuricaemia with the above-mentioned diseases and cardiovascular risk factors. Animal studies have also produced a mechanistic approach to the vascular toxicity of soluble urate. However, causality remains uncertain because confounders, reverse causality or common etiological factors might explain the epidemiological results. Additionally, these uncertainties remain unsolved despite recent studies using Mendelian randomisation or therapeutic approaches. Thus, large randomised placebo-controlled trials are still needed to assess the benefits of treating asymptomatic hyperuricaemia.",Included,Included
103,Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,"BACKGROUND: This study compared the strength and causality of associations between major risk factors for cardiovascular disease (CVD) and the four major CVDs: myocardial infarction, ischaemic stroke, heart failure and atrial fibrillation. Both a long-term follow-up in an observational cohort and Mendelian randomisation (MR) were used for this aim., METHODS: In the Uppsala Longitudinal Study of Adult Men study, 2322 men, all aged 50 years, were assessed for CVD risk factors and then followed for four decades regarding incident CVDs. The two-sample MR part used public available Genome-Wide Association Study (GWAS) data., RESULTS: In multivariate analyses, systolic blood pressure was overall by far the most important risk factor, since it was related to all four CVDs, both in observational and MR analyses. Body mass index was the second most overall important risk factor, being linked to all four CVDs, except ischaemic stroke, both in observational and MR analyses. Smoking was an important risk factor for ischaemic stroke and heart failure, both in observational and MR analyses, while low-density lipoprotein-cholesterol mainly was related to myocardial infarction. Diabetes was mainly a causal risk factor for incident myocardial infarction and heart failure. Neither HDL-cholesterol nor triglycerides were of major importance as risk factors in these multivariable models., CONCLUSION: By combining long-term observational data with genetic data, we show that the impact and causal role of specific established cardiovascular risk factors varies between different major CVDs. Systolic blood pressure was causally related to all four cardiovascular outcomes and was therefore, overall, the most important risk factor. Copyright © Author(s) (or their employer(s)) 2021. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",Included,Included
16,Influence of puberty timing on adiposity and cardiometabolic traits: A Mendelian randomisation study,"BACKGROUND: Earlier puberty is widely linked with future obesity and cardiometabolic disease. We examined whether age at puberty onset likely influences adiposity and cardiometabolic traits independent of childhood adiposity., METHODS AND FINDINGS: One-sample Mendelian randomisation (MR) analyses were conducted on up to 3,611 white-European female and male offspring from the Avon Longitudinal Study of Parents and Children (ALSPAC) cohort recruited at birth via mothers between 1 April 1991 and 31 December 1992. Time-sensitive exposures were age at menarche and age at voice breaking. Outcomes measured at age 18 y were body mass index (BMI), dual-energy X-ray absorptiometry-based fat and lean mass indices, blood pressure, and 230 cardiometabolic traits derived from targeted metabolomics (150 concentrations plus 80 ratios from nuclear magnetic resonance [NMR] spectroscopy covering lipoprotein subclasses of cholesterol and triglycerides, amino acids, inflammatory glycoproteins, and others). Adjustment was made for pre-pubertal BMI measured at age 8 y. For negative control MR analyses, BMI and cardiometabolic trait measures taken at age 8 y (before puberty, and which therefore cannot be an outcome of puberty itself) were used. For replication analyses, 2-sample MR was conducted using summary genome-wide association study data on up to 322,154 adults for post-pubertal BMI, 24,925 adults for post-pubertal NMR cardiometabolic traits, and 13,848 children for pre-pubertal obesity (negative control). Like observational estimates, 1-sample MR estimates in ALSPAC using 351 polymorphisms for age at menarche (explaining 10.6% of variance) among 2,053 females suggested that later age at menarche (per year) was associated with -1.38 kg/m2 of BMI at age 18 y (or -0.34 SD units, 95% CI -0.46, -0.23; P = 9.77 x 10-09). This coefficient attenuated 10-fold upon adjustment for BMI at age 8 y, to -0.12 kg/m2 (or -0.03 SDs, 95% CI -0.13, 0.07; P = 0.55). Associations with blood pressure were similar, but associations across other traits were small and inconsistent. In negative control MR analyses, later age at menarche was associated with -0.77 kg/m2 of pre-pubertal BMI measured at age 8 y (or -0.39 SDs, 95% CI -0.50, -0.29; P = 6.28 x 10-13), indicating that variants influencing menarche also influence BMI before menarche. Cardiometabolic trait associations were weaker and less consistent among males and both sexes combined. Higher BMI at age 8 y (per 1 kg/m2 using 95 polymorphisms for BMI explaining 3.4% of variance) was associated with earlier menarche among 2,648 females (by -0.26 y, 95% CI -0.37, -0.16; P = 1.16 x 10-06), likewise among males and both sexes combined. In 2-sample MR analyses using 234 polymorphisms and inverse variance weighted (IVW) regression, each year later age at menarche was associated with -0.81 kg/m2 of adult BMI (or -0.17 SD units, 95% CI -0.21, -0.12; P = 4.00 x 10-15). Associations were weaker with cardiometabolic traits. Using 202 polymorphisms, later menarche was associated with lower odds of childhood obesity (IVW-based odds ratio = 0.52 per year later, 95% CI 0.48, 0.57; P = 6.64 x 10-15). Study limitations include modest sample sizes for 1-sample MR, lack of inference to non-white-European populations, potential selection bias through modest completion rates of puberty questionnaires, and likely disproportionate measurement error of exposures by sex. The cardiometabolic traits examined were heavily lipid-focused and did not include hormone-related traits such as insulin and insulin-like growth factors., CONCLUSIONS: Our results suggest that puberty timing has a small influence on adiposity and cardiometabolic traits and that preventive interventions should instead focus on reducing childhood adiposity.",Included,Included
123,Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,"Mendelian randomization (MR) suggests that postprandial hyperinsulinemia (unadjusted for plasma glucose) increases BMI, but its impact on cardiometabolic disease, a leading cause for mortality and morbidity in people with obesity, is not established. Fat distribution i.e., increased centripetal and/or reduced femoro-gluteal adiposity, is causally associated with and better predicts cardiometabolic disease than BMI. We therefore undertook bidirectional MR to assess the effect of corrected insulin response (CIR) (insulin 30 min after a glucose challenge adjusted for plasma glucose) on BMI, waist-to-hip ratio (WHR), leg fat, type 2 diabetes (T2D), triglyceride (TG), HDL, liver fat, hypertension (HTN), and coronary artery disease (CAD) in people of European descent. Inverse variance-weighted MR suggests a potential causal association between increased CIR and increased BMI (b = 0.048 +/- 0.02, P = 0.03), increased leg fat (b = 0.029 +/- 0.012, P = 0.01), reduced T2D (b = -0.73 +/- 0.15, P = 6 x 10-7, odds ratio [OR] 0.48 [95% CI 0.36-0.64]), reduced TG (b = -0.07 +/- 0.02, P = 0.003), and increased HDL (b = 0.04 +/- 0.01, P = 0.006) with some evidence of horizontal pleiotropy. CIR had neutral effects on WHR (b = 0.009 +/- 0.02, P = 0.69), liver fat (b = -0.08 +/- 0.04, P = 0.06), HTN (b = -0.001 +/- 0.004, P = 0.7, OR 1.00 [95% CI 0.99-1.01]), and CAD (b = -0.002 +/- 0.002, P = 0.48, OR 0.99 [95% CI 0.81-1.21]). T2D decreased CIR (b -0.22 +/- 0.04, P = 1.3 x 10-7), with no evidence that BMI, TG, HDL, liver fat, HTN, and CAD modulate CIR. In conclusion, we did not find evidence that increased CIR increases cardiometabolic disease. It might increase BMI with favorable fat distribution, reduce T2D, and improve lipids. Copyright © 2022 by the American Diabetes Association.",Included,Included
145,Interaction-based Mendelian randomization with measured and unmeasured gene-by-covariate interactions,"Studies leveraging gene-environment (GxE) interactions within Mendelian randomization (MR) analyses have prompted the emergence of two similar methodologies: MR-GxE and MR-GENIUS. Such methods are attractive in allowing for pleiotropic bias to be corrected when using individual instruments. Specifically, MR-GxE requires an interaction to be explicitly identified, while MR-GENIUS does not. We critically examine the assumptions of MR-GxE and MR-GENIUS in the absence of a pre-defined covariate, and propose sensitivity analyses to evaluate their performance. Finally, we explore the effect of body mass index (BMI) upon systolic blood pressure (SBP) using data from the UK Biobank, finding evidence of a positive effect of BMI on SBP. We find both approaches share similar assumptions, though differences between the approaches lend themselves to differing research settings. Where a suitable gene-by-covariate interaction is observed MR-GxE can produce unbiased causal effect estimates. MR-GENIUS can circumvent the need to identify interactions, but as a consequence relies on either the MR-GxE assumptions holding globally, or additional information with respect to the distribution of pleiotropic effects in the absence of an explicitly defined interaction covariate.",Included,Included
